,coil_no,YieldStrength,TensileStrength,TotalElongation,coil_thickness,steel_design_description,grade,grade_head,grade_tail,sample_direction,sample_location,c_amount,mn_amount,p_amount,s_amount,si_amount,cu_amount,ni_amount,cr_amount,mo_amount,al_amount,nb_amount,ca_amount,n_amount,ti_amount,v_amount,TF1_EXIT_AVG_BODY,TBC_thickness,TEMP_FM_ENTRY_AVG,TEMP_FM_EXIT_AVG,TEMP_COILING_AVG
5213,23B168089,54.4,76.0,34.03,0.495200008153915,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.202,0.435,0.0061,0.0022,0.023,0.118,0.04,0.066,0.014,0.0283,0.001,0.0026,0.0091,0.001,0.004,2037.974,54.20746,1837.0,1639.0,1171.0
5214,23B168091,55.4,74.6,35.31,0.494199991226196,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.202,0.435,0.0061,0.0022,0.023,0.118,0.04,0.066,0.014,0.0283,0.001,0.0026,0.0091,0.001,0.004,2036.966,54.20837,1839.0,1648.0,1185.0
5215,23B168094,50.4,74.0,35.72,0.494100004434586,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.202,0.435,0.0061,0.0022,0.023,0.118,0.04,0.066,0.014,0.0283,0.001,0.0026,0.0091,0.001,0.004,2034.194,54.20576,1835.0,1648.0,1187.0
5216,23B168096,55.6,77.1,33.4,0.494199991226196,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.199,0.436,0.0064,0.0032,0.039,0.111,0.042,0.05,0.01,0.0367,0.001,0.0018,0.0084,0.001,0.004,2054.336,54.19865,1844.0,1646.0,1173.0
5217,23B168097,56.7,74.5,33.46,0.494100004434586,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.199,0.436,0.0064,0.0032,0.039,0.111,0.042,0.05,0.01,0.0367,0.001,0.0018,0.0084,0.001,0.004,2039.828,54.20402,1828.0,1646.0,1185.0
5218,23B168098,58.0,75.9,35.17,0.494100004434586,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.199,0.436,0.0064,0.0032,0.039,0.111,0.042,0.05,0.01,0.0367,0.001,0.0018,0.0084,0.001,0.004,2034.932,54.20047,1830.0,1644.0,1182.0
5219,23B168103,52.3,75.2,33.17,0.494100004434586,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.199,0.436,0.0064,0.0032,0.039,0.111,0.042,0.05,0.01,0.0367,0.001,0.0018,0.0084,0.001,0.004,2023.43,54.21216,1830.0,1646.0,1185.0
5220,23B168104,59.1,78.9,32.16,0.494100004434586,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.199,0.436,0.0064,0.0032,0.039,0.111,0.042,0.05,0.01,0.0367,0.001,0.0018,0.0084,0.001,0.004,2027.552,54.20564,1828.0,1646.0,1185.0
5226,23B168119,57.5,75.0,36.01,0.629100024700165,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.209,0.453,0.0074,0.0009,0.028,0.104,0.038,0.044,0.013,0.0301,0.0,0.0031,0.0079,0.001,0.004,2081.768,49.2517,1884.0,1641.0,1173.0
5227,23B168126,58.4,79.9,28.9,0.494199991226196,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.207,0.441,0.0067,0.002,0.024,0.122,0.041,0.04,0.01,0.0324,0.001,0.0015,0.012,0.001,0.004,2082.164,49.25704,1893.0,1632.0,1164.0
5228,23B168127,56.6,77.8,31.19,0.494199991226196,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.207,0.441,0.0067,0.002,0.024,0.122,0.041,0.04,0.01,0.0324,0.001,0.0015,0.012,0.001,0.004,2070.788,49.25925,1880.0,1650.0,1180.0
5229,23B168132,53.8,77.4,33.17,0.494199991226196,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.205,0.431,0.0061,0.0019,0.018,0.105,0.038,0.036,0.013,0.0291,0.0,0.0025,0.0109,0.0,0.004,2085.8,49.25939,1886.0,1641.0,1167.0
5230,23B168133,39.3,58.5,32.0,0.494199991226196,20SS50 650175,20SS50,20SS50,20SS50,L,H,0.205,0.431,0.0061,0.0019,0.018,0.105,0.038,0.036,0.013,0.0291,0.0,0.0025,0.0109,0.0,0.004,2083.244,49.26487,1884.0,1639.0,1169.0
